month,arm,policy,alpha,costing,n_series,n_costed,CSR,FR,cost_layerc,hold_layerc,short_layerc,avg_inventory,total_lost,S_median,n_violations
2019-07-01,chronos2-ft-full-short,P2,0.85,margin,1926,1640,0.8557,0.8516,22.8221,9.8203,13.0018,36.98,11185.7,13.2,0
2019-07-01,chronos2-ft-full-short,P3,0.85,derived,1926,1640,0.8629,0.8523,14.6204,9.8473,4.773,37.08,11136.0,13.0,0
2019-07-01,chronos2-ft-full-short,P3,0.85,margin,1926,1640,0.8629,0.8523,22.7573,9.8473,12.91,37.08,11136.0,13.0,0
2019-07-01,chronos2-ft-full-short,P1,0.9,derived,1926,1640,0.8697,0.8543,17.3742,10.0159,7.3583,37.55,10983.0,14.0,0
2019-07-01,chronos2-ft-full-short,P1,0.9,margin,1926,1640,0.8697,0.8543,22.5425,10.0159,12.5267,37.55,10983.0,14.0,0
2019-07-01,chronos2-ft-full-short,P2,0.9,derived,1926,1640,0.8723,0.8616,17.1758,10.1488,7.027,38.27,10433.7,14.1,0
2019-07-01,chronos2-ft-full-short,P2,0.9,margin,1926,1640,0.8723,0.8616,22.2328,10.1488,12.084,38.27,10433.7,14.1,0
2019-07-01,chronos2-ft-full-short,P3,0.9,derived,1926,1640,0.879,0.8634,17.1327,10.2195,6.9133,38.53,10297.0,14.0,0
2019-07-01,chronos2-ft-full-short,P3,0.9,margin,1926,1640,0.879,0.8634,22.1167,10.2195,11.8973,38.53,10297.0,14.0,0
2019-07-01,chronos2-ft-full-short,P1,0.95,derived,1926,1640,0.8899,0.8698,24.192,10.689,13.503,39.94,9816.0,16.0,0
2019-07-01,chronos2-ft-full-short,P1,0.95,margin,1926,1640,0.8899,0.8698,21.7178,10.689,11.0289,39.94,9816.0,16.0,0
2019-07-01,chronos2-ft-full-short,P2,0.95,derived,1926,1640,0.8858,0.8745,23.7978,10.6509,13.1468,40.22,9456.4,15.8,0
2019-07-01,chronos2-ft-full-short,P2,0.95,margin,1926,1640,0.8858,0.8745,21.5006,10.6509,10.8496,40.22,9456.4,15.8,0
2019-07-01,chronos2-ft-full-short,P3,0.95,derived,1926,1640,0.8941,0.8782,23.5082,10.9165,12.5916,41.0,9181.0,16.0,0
2019-07-01,chronos2-ft-full-short,P3,0.95,margin,1926,1640,0.8941,0.8782,21.3345,10.9165,10.4179,41.0,9181.0,16.0,0
2019-07-01,chronos2-ft-full-short,P1,0.98,derived,1926,1640,0.9008,0.8857,41.0512,11.4243,29.6268,42.66,8619.0,18.0,0
