arm,policy,alpha,costing,n_series,n_days,n_reviews,CSR,FR,avg_cost_per_series_day,avg_inventory,total_lost,S_median,n_violations
emp-daily,P2,0.9,margin,1921,63,3,0.8574,0.7814,1.138502,36.76,35776.0,14.4,0
emp-daily,P3,0.9,derived,1921,63,3,0.8614,0.7827,0.797322,36.92,35561.0,14.0,0
emp-daily,P3,0.9,margin,1921,63,3,0.8614,0.7827,1.133711,36.92,35561.0,14.0,0
emp-daily,P1,0.95,derived,1921,63,3,0.8747,0.7921,1.453822,38.92,34027.0,16.0,0
emp-daily,P1,0.95,margin,1921,63,3,0.8747,0.7921,1.089157,38.92,34027.0,16.0,0
emp-daily,P2,0.95,derived,1921,63,3,0.8693,0.7972,1.440444,38.99,33189.6,16.2,0
emp-daily,P2,0.95,margin,1921,63,3,0.8693,0.7972,1.085702,38.99,33189.6,16.2,0
emp-daily,P3,0.95,derived,1921,63,3,0.8789,0.801,1.420768,39.91,32572.0,17.0,0
emp-daily,P3,0.95,margin,1921,63,3,0.8789,0.801,1.068793,39.91,32572.0,17.0,0
emp-daily,P1,0.98,derived,1921,63,3,0.8912,0.8109,3.255965,41.9,30957.0,18.0,0
emp-daily,P1,0.98,margin,1921,63,3,0.8912,0.8109,1.036852,41.9,30957.0,18.0,0
emp-daily,P2,0.98,derived,1921,63,3,0.8837,0.8135,3.253602,41.58,30524.9,17.6,0
emp-daily,P2,0.98,margin,1921,63,3,0.8837,0.8135,1.038187,41.58,30524.9,17.6,0
emp-daily,P3,0.98,derived,1921,63,3,0.895,0.8192,3.181029,42.97,29595.0,18.0,0
emp-daily,P3,0.98,margin,1921,63,3,0.895,0.8192,1.019973,42.97,29595.0,18.0,0
gbdt-lean,P1,0.85,derived,1921,63,3,0.843,0.679,0.682453,33.63,52545.5,22.0,0
gbdt-lean,P1,0.85,margin,1921,63,3,0.843,0.679,1.467093,33.63,52545.5,22.0,0
gbdt-lean,P2,0.85,derived,1921,63,3,0.8426,0.6874,0.674716,34.53,51166.6,22.9,0
gbdt-lean,P2,0.85,margin,1921,63,3,0.8426,0.6874,1.445695,34.53,51166.6,22.9,0
gbdt-lean,P3,0.85,derived,1921,63,3,0.8497,0.6886,0.673412,34.7,50972.5,23.0,0
gbdt-lean,P3,0.85,margin,1921,63,3,0.8497,0.6886,1.441429,34.7,50972.5,23.0,0
gbdt-lean,P1,0.9,derived,1921,63,3,0.8548,0.6925,0.971114,35.38,50323.5,26.0,0
gbdt-lean,P1,0.9,margin,1921,63,3,0.8548,0.6925,1.428304,35.38,50323.5,26.0,0
gbdt-lean,P2,0.9,derived,1921,63,3,0.8542,0.6986,0.960999,36.0,49335.1,26.1,0
gbdt-lean,P2,0.9,margin,1921,63,3,0.8542,0.6986,1.413769,36.0,49335.1,26.1,0
gbdt-lean,P3,0.9,derived,1921,63,3,0.8601,0.702,0.955989,36.52,48784.5,27.0,0
gbdt-lean,P3,0.9,margin,1921,63,3,0.8601,0.702,1.403903,36.52,48784.5,27.0,0
gbdt-lean,P1,0.95,derived,1921,63,3,0.8695,0.7113,1.79539,38.06,47255.5,29.0,0
gbdt-lean,P1,0.95,margin,1921,63,3,0.8695,0.7113,1.376148,38.06,47255.5,29.0,0
gbdt-lean,P2,0.95,derived,1921,63,3,0.8655,0.7145,1.785508,38.23,46736.7,28.6,0
gbdt-lean,P2,0.95,margin,1921,63,3,0.8655,0.7145,1.371057,38.23,46736.7,28.6,0
