alpha,lam,estimand,point,ci_lo,ci_hi,sim_lo,sim_hi,p_two_sided_pointwise,n_cells,n_clusters,n_draws,bootstrap_draws,natural_censoring_rate,recensor_fraction,recensor_rate_total,recensor_rate_scored_mean,recensor_rate_scored_sd,crit_r0r3,crit_adid
0.8,0.5,DiD,-2.0262620419340713,-3.2388637959376023,-1.0565020925313342,-3.640612689440194,-0.41191139442794866,0.00011999760004799904,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,,2.8947897623465555
0.8,0.75,R₀,-2.7118352470038523,-8.10248710777986,3.9017677230142027,-11.127643412397745,5.70397291839004,0.3504729905401892,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,2.7627351157571503,
0.8,0.75,R₃,10.686189763282847,4.49298558366597,18.781598203485945,0.5429287389753323,20.82945078759036,0.00011999760004799904,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,2.7627351157571503,
0.8,0.75,A,13.3980250102867,8.856185055599655,19.354732082218025,5.624088221027981,21.171961799545418,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,,2.8947897623465555
0.8,0.75,DiD,-3.2424788585254642,-5.267473567462724,-1.6262127805524051,-5.939831374608085,-0.5451263424428436,0.0002799944001119978,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,,2.8947897623465555
0.8,1.0,R₀,-1.2293347153359806,-7.428178785673195,6.6978900562718815,-11.123203765537026,8.664534334865065,0.6681466370672586,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,2.7627351157571503,
0.8,1.0,R₃,13.413280902966873,6.498969761181987,22.579862835426653,2.027411666573583,24.799150139360165,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,2.7627351157571503,
0.8,1.0,A,14.642615618302854,9.482223292001946,21.307402120957303,5.886334760135373,23.398896476470334,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,,2.8947897623465555
0.8,1.0,DiD,-4.487069466541618,-7.583592535052988,-1.978795352561045,-8.61948003750166,-0.3546588955815757,0.001119977600447991,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,,2.8947897623465555
0.85,0.0,R₀,-6.393802469765123,-9.939855416837725,-1.895680179315006,-12.067736815635179,-0.7198681238950675,0.008879822403551929,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,2.7627351157571503,
0.85,0.0,R₃,1.5873638237359131,-3.1030886338316592,7.759636979764806,-6.112933396971304,9.28766104444313,0.5508289834203316,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,2.7627351157571503,
0.85,0.0,A,7.981166293501036,5.105011634348968,12.087632305964084,2.7967495204436297,13.165583066558442,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,,2.8947897623465555
0.85,0.25,R₀,-5.827120228076961,-9.624342775451442,-0.8547328200075012,-12.03193730724584,0.37769685109191986,0.02623947521049579,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,2.7627351157571503,
0.85,0.25,R₃,3.3583895812993294,-1.8264265647282596,10.176160213845458,-5.144834451057351,11.86161361365601,0.22971540569188617,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,2.7627351157571503,
0.85,0.25,A,9.18550980937629,6.041468248181874,13.685045626573949,3.4961638153549845,14.874855803397596,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,,2.8947897623465555
0.85,0.25,DiD,-1.2043435158752542,-1.7952664134392362,-0.7602114132698179,-1.9735435624199296,-0.4351434693305788,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,,2.8947897623465555
0.85,0.5,R₀,-5.260335536781365,-9.47678250446491,0.45009889942100584,-12.271703390845552,1.7510323172828235,0.06555868882622348,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,2.7627351157571503,
0.85,0.5,R₃,5.462364223827853,-0.41660066136077084,13.19720388074155,-4.173292592784312,15.098021040440019,0.07131857362852743,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,2.7627351157571503,
0.85,0.5,A,10.722699760609217,7.1921532704163065,15.769578821208638,4.343009244273376,17.10239027694506,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,,2.8947897623465555
0.85,0.5,DiD,-2.741533467108181,-4.079445970369086,-1.751197533171514,-4.473257055202908,-1.009809879013454,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,,2.8947897623465555
0.85,0.75,R₀,-4.502673378045057,-9.317395551121699,2.2205897920060678,-12.646786244001454,3.6414394879113408,0.1623567528649427,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,2.7627351157571503,
0.85,0.75,R₃,8.166428253881731,1.3964761091769915,17.11758965219647,-2.959442350931594,19.292298858695055,0.013959720805583888,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,2.7627351157571503,
0.85,0.75,A,12.66910163192679,8.584685988834918,18.427562554808055,5.338825303699265,19.999377960154312,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,,2.8947897623465555
0.85,0.75,DiD,-4.687935338425754,-7.025337031061198,-2.980152521794057,-7.705325532736424,-1.6705451441150836,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,,2.8947897623465555
0.85,1.0,R₀,-3.3833090313317484,-9.107806649324402,4.846862831786353,-13.272502124346326,6.5058840616828295,0.36543269134617307,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,2.7627351157571503,
0.85,1.0,R₃,11.742443678779303,3.751822597088552,22.41084074738841,-1.492185405528705,24.97707276308731,0.001999960000799984,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,2.7627351157571503,
0.85,1.0,A,15.125752710111051,10.252053818532456,21.919750891105366,6.418999742081876,23.832505678140226,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,,2.8947897623465555
0.85,1.0,DiD,-7.144586416610015,-10.915257384488735,-4.447744461877398,-11.954034578570429,-2.3351382546496025,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,,2.8947897623465555
0.9,0.0,R₀,-8.424128081611748,-11.86021405019071,-4.338572978533189,-13.717906153468947,-3.130350009754549,7.999840003199936e-05,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,2.7627351157571503,
0.9,0.0,R₃,-2.1197527232780145,-6.4297814137282785,3.358276381439848,-9.050721904669174,4.8112164581131465,0.43039139217215655,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,2.7627351157571503,
0.9,0.0,A,6.304375358333734,3.776719119719696,9.963670291495195,1.7080256198434451,10.900725096824022,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.0,0.0,0.0,0.0,,2.8947897623465555
0.9,0.25,R₀,-7.93201520004758,-11.546446295689195,-3.51902142552447,-13.592725375553908,-2.2713050245412525,0.000999980000399992,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,2.7627351157571503,
0.9,0.25,R₃,-0.3581632477401912,-5.110849479939616,5.729907949217934,-8.014156408468969,7.297829912988586,0.9275014499710006,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,2.7627351157571503,
0.9,0.25,A,7.573851952307389,4.75429218030509,11.71923201039948,2.4023883147005005,12.745315589914277,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,,2.8947897623465555
0.9,0.25,DiD,-1.2694765939736552,-1.9504683288364635,-0.7882430521245187,-2.1350417947946747,-0.40391139315263547,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.25,0.08821585903083701,0.09106607929515417,0.0020788745447010773,,2.8947897623465555
0.9,0.5,R₀,-7.599942942300409,-11.572719001031283,-2.5602867892751866,-13.953723288972572,-1.2461625956282445,0.004519909601807964,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,2.7627351157571503,
0.9,0.5,R₃,1.6941826786193264,-3.7368836193620956,8.736303098136435,-7.141198999710016,10.529564356948669,0.5503489930201396,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,2.7627351157571503,
0.9,0.5,A,9.294125620919734,6.043559205728599,14.140814221203891,3.267288371771616,15.320962870067852,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,,2.8947897623465555
0.9,0.5,DiD,-2.989750262586001,-4.587216682572256,-1.8965684868153427,-4.997894379168875,-0.9816061460031267,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.5,0.1765418502202643,0.18265022026431715,0.0021098002016327637,,2.8947897623465555
0.9,0.75,R₀,-7.068284561462498,-11.547404388730353,-1.2450482644931502,-14.330431389553008,0.19386226662801143,0.020999580008399833,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,2.7627351157571503,
0.9,0.75,R₃,4.504212291113057,-1.8097743954679633,12.896959621631412,-5.913796430295126,14.922221012521241,0.1736365272694546,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,2.7627351157571503,
0.9,0.75,A,11.572496852575554,7.620261807976616,17.45853609801549,4.248899191826037,18.89609451332507,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,,2.8947897623465555
0.9,0.75,DiD,-5.268121494241821,-8.211289270089575,-3.318682242372819,-8.91761894834241,-1.6186240401412313,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,0.75,0.2647577092511013,0.273152422907489,0.0020484781605284476,,2.8947897623465555
0.9,1.0,R₀,-6.142172509235638,-11.374425381314,0.9593497569864217,-14.852221280682691,2.567876262211416,0.08371832563348733,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,2.7627351157571503,
0.9,1.0,R₃,8.479036526175477,0.9076915865186096,18.991511225007546,-4.338982692163235,21.29705574451419,0.025559488810223796,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,2.7627351157571503,
0.9,1.0,A,14.621209035411116,9.64029855886964,22.247965711301653,5.228014458446964,24.01440361237527,3.999920001599968e-05,5675,1135,50,50000,0.3530837004405286,1.0,0.3530837004405286,0.3645814977973568,0.0,,2.8947897623465555
