arm,policy,alpha,costing,n,CSR_ub,FR_ub,cost,hold,short_c,S_med,n_orders,avg_inv,lost_lb
emp-daily,P3,0.9,derived,3363,0.8599464763603925,0.8127290947822022,26.553209284369117,7.967684752700961,18.58552453166816,17.0,1612,34.979934582218256,30094.0
gbdt-lean,P3,0.9,derived,3363,0.8661909009812667,0.7645166999299554,30.712911564079697,9.0352165774606,21.677694986619095,23.0,1932,35.528198037466545,37841.619999999995
always-zero,P3,0.9,derived,3363,0.7133511745465358,0.5269349874870626,42.55024309346814,5.396222977500248,37.154020115967896,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P1,0.95,derived,3363,0.9000892060660125,0.8663515241788182,41.835723334324484,8.21722474675389,33.61849858757059,19.0,1753,35.84984240261671,21477.0
chronos2-zs,P1,0.95,derived,3363,0.9066309842402617,0.8698238829583601,42.22458134800274,9.202151969471702,33.022429378531044,21.0,1903,36.9307225691347,20919.0
chronos2-ft-full-short,P1,0.95,derived,3363,0.8920606601248885,0.8589836517863855,42.459962604817086,7.952010156606206,34.50795244821089,18.0,1715,35.23536128456735,22661.0
chronos2-ft-full-h32,P1,0.95,derived,3363,0.8914659530181386,0.8583862567275395,42.76251451779162,7.805981090296363,34.95653342749526,18.0,1699,35.04728516205768,22757.0
emp-daily,P1,0.95,derived,3363,0.8745168004757656,0.8206570250423031,46.21486031519473,8.554288752106254,37.66057156308847,19.0,1738,35.80806422836753,28820.0
gbdt-lean,P1,0.95,derived,3363,0.8765982753493904,0.771380520241487,54.325719528198995,9.503707136485282,44.82201239171371,25.0,2060,36.2080969372584,36738.619999999995
always-zero,P1,0.95,derived,3363,0.7133511745465358,0.5269349874870626,83.83248766676572,5.396222977500248,78.43626468926547,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P2,0.95,derived,3363,0.8986024382991377,0.871222864269807,41.38306434585339,8.185648684754225,33.197415661099164,18.79042030343912,1786,35.98873580407782,20694.186948887116
chronos2-zs,P2,0.95,derived,3363,0.9051442164733868,0.8743051921952757,41.77225547720702,9.114362122705103,32.65789335450192,21.16208387432483,1925,37.031874670688,20198.86400226509
chronos2-ft-full-short,P2,0.95,derived,3363,0.8902765388046388,0.8637703395517486,42.05753502885113,7.915259235821149,34.14227579302997,18.06289775181903,1753,35.35869522737454,21891.79038122175
chronos2-ft-full-h32,P2,0.95,derived,3363,0.8890871245911388,0.8631640178765368,42.32052471340173,7.773907119746423,34.54661759365531,17.38141471695466,1740,35.187572493673706,21989.224867762
emp-daily,P2,0.95,derived,3363,0.872137972048766,0.8252053823700991,45.814603641019524,8.455732378730902,37.35887126228863,18.776156639135014,1793,35.83447161335254,28089.089529612174
gbdt-lean,P2,0.95,derived,3363,0.8736247398156408,0.7753708794802211,53.912353614267936,9.458037051409478,44.454316562858466,24.262539769047883,2080,36.2763270079019,36097.37852796886
always-zero,P2,0.95,derived,3363,0.7133511745465358,0.5269349874870626,83.83248766676572,5.396222977500248,78.43626468926547,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P3,0.95,derived,3363,0.9051442164733868,0.8743230144952933,41.089706162156766,8.421418026563584,32.66828813559319,20.0,1793,36.37169788878977,20196.0
chronos2-zs,P3,0.95,derived,3363,0.911983348201011,0.8774655614194306,41.56752180295368,9.432142801070473,32.13537900188321,22.0,1927,37.49212607790663,19691.0
chronos2-ft-full-short,P3,0.95,derived,3363,0.8980077311923877,0.8671667195195351,41.65935186539792,8.14225629101001,33.517095574387916,19.0,1753,35.71885816235504,21346.0
chronos2-ft-full-h32,P3,0.95,derived,3363,0.895926256318763,0.8660901638405731,41.9852191961542,7.971353847754981,34.013865348399214,18.0,1736,35.50565566458519,21519.0
emp-daily,P3,0.95,derived,3363,0.8783823966696402,0.8282800349077846,45.46558412330257,8.700171223114284,36.76541290018829,19.0,1768,36.203841807909605,27595.0
gbdt-lean,P3,0.95,derived,3363,0.8807612250966399,0.7791093188153059,53.71028412825846,9.759125314699178,43.95115881355928,25.0,2095,36.6914451382694,35496.619999999995
always-zero,P3,0.95,derived,3363,0.7133511745465358,0.5269349874870626,83.83248766676572,5.396222977500248,78.43626468926547,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P1,0.98,derived,3363,0.9164436515016354,0.8807076741867088,90.22741544949938,8.903892057686589,81.3235233918128,22.0,1905,37.2014629794826,19170.0
chronos2-zs,P1,0.98,derived,3363,0.9241748438893844,0.8836759808853494,90.27215585984727,10.111062639508376,80.16109322033891,24.0,2038,38.51829319060363,18693.0
chronos2-ft-full-short,P1,0.98,derived,3363,0.9081177520071365,0.873538933480558,92.23054648329857,8.603779038556844,83.62676744474173,21.0,1869,36.50833184656556,20322.0
chronos2-ft-full-h32,P1,0.98,derived,3363,0.9090098126672613,0.8727112924094486,93.03746815541672,8.391919364654575,84.64554879076213,20.0,1836,36.26702943800178,20455.0
emp-daily,P1,0.98,derived,3363,0.8896818316978888,0.8368862574742834,100.54452973238175,9.184684182773317,91.35984554960841,21.0,1870,37.065572405590245,26212.0
gbdt-lean,P1,0.98,derived,3363,0.8896818316978888,0.7872861636832591,120.82930327287136,10.35044073248092,110.47886254039044,28.0,2199,37.61472792149866,34182.619999999995
always-zero,P1,0.98,derived,3363,0.7133511745465358,0.5269349874870626,207.67922138665853,5.396222977500248,202.28299840915832,0.0,4,29.611416889681834,76020.45
chronos2-zs,P2,0.98,derived,3363,0.9194171870353851,0.8861582277982232,89.79904927312778,9.817452212822841,79.98159706030494,23.351038044322163,2028,38.327912916946616,18294.108679914036
chronos2-ft-full,P2,0.98,derived,3363,0.9110912875408861,0.8832535736091212,89.88630157783035,8.734591648608394,81.15170992922194,20.803991162297272,1901,37.114251520436596,18760.879869305
chronos2-ft-full-short,P2,0.98,derived,3363,0.904252155813262,0.8762368642065972,91.8078944168956,8.43341183384832,83.3744825830473,19.923360846254315,1868,36.418395522581484,19888.44879152478
chronos2-ft-full-h32,P2,0.98,derived,3363,0.903657448706512,0.8753463095334633,92.7950856614406,8.261445779896953,84.53363988154364,19.21988850490882,1834,36.21799646953779,20031.55886141057
emp-daily,P2,0.98,derived,3363,0.8846268212905144,0.8395650526507221,100.18106833201217,9.030340156970206,91.15072817504195,20.42087152531255,1885,36.92638468611761,25781.523829951107
gbdt-lean,P2,0.98,derived,3363,0.8855188819506393,0.7888743898665258,120.58853472525651,10.125948394270319,110.4625863309862,26.602650014153724,2185,37.39258589725278,33927.395737033796
always-zero,P2,0.98,derived,3363,0.7133511745465358,0.5269349874870626,207.67922138665853,5.396222977500248,202.28299840915832,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P3,0.98,derived,3363,0.9235801367826345,0.8877519575889334,88.27091019625327,9.152684281891169,79.11822591436211,22.0,1945,37.80583407671722,18038.0
