arm,policy,alpha,costing,n,CSR_ub,FR_ub,cost,hold,short_c,S_med,n_orders,avg_inv,lost_lb
gbdt-lean,P1,0.98,margin,3363,0.8896818316978888,0.7872861636832591,47.28259874615918,10.35044073248092,36.93215801367826,28.0,2199,37.61472792149866,34182.619999999995
always-zero,P1,0.98,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P2,0.98,margin,3363,0.9110912875408861,0.8832535736091212,36.68850896286389,8.734591648608394,27.953917314255502,20.803991162297272,1901,37.114251520436596,18760.879869305
chronos2-ft-full-short,P2,0.98,margin,3363,0.904252155813262,0.8762368642065972,37.15428455811673,8.43341183384832,28.720872724268418,19.923360846254315,1868,36.418395522581484,19888.44879152478
chronos2-zs,P2,0.98,margin,3363,0.9194171870353851,0.8861582277982232,37.22534127606485,9.817452212822841,27.407889063242017,23.351038044322163,2028,38.327912916946616,18294.108679914036
chronos2-ft-full-h32,P2,0.98,margin,3363,0.903657448706512,0.8753463095334633,37.51036640786886,8.261445779896953,29.248920627971906,19.21988850490882,1834,36.21799646953779,20031.55886141057
emp-daily,P2,0.98,margin,3363,0.8846268212905144,0.8395650526507221,39.85303280339744,9.030340156970206,30.82269264642724,20.42087152531255,1885,36.92638468611761,25781.523829951107
gbdt-lean,P2,0.98,margin,3363,0.8855188819506393,0.7888743898665258,47.086689193736724,10.125948394270319,36.9607407994664,26.602650014153724,2185,37.39258589725278,33927.395737033796
always-zero,P2,0.98,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P3,0.98,margin,3363,0.9235801367826345,0.8877519575889334,36.431297127564676,9.152684281891169,27.278612845673504,22.0,1945,37.80583407671722,18038.0
chronos2-ft-full-short,P3,0.98,margin,3363,0.9152542372881356,0.8810872689636838,36.88426734265041,8.83357748240658,28.050689860243825,21.0,1916,37.066613143027055,19109.0
chronos2-zs,P3,0.98,margin,3363,0.9283377936366339,0.8906704813660036,37.1564089572802,10.38342055406879,26.772988403211418,25.0,2076,39.15477847160274,17569.0
chronos2-ft-full-h32,P3,0.98,margin,3363,0.9146595301813857,0.8799235931719736,37.18320452671226,8.607395725047082,28.57580880166518,21.0,1896,36.802265834076714,19296.0
emp-daily,P3,0.98,margin,3363,0.8953315492120131,0.8445714959917281,39.52805205867776,9.39532978689662,30.132722271781148,21.0,1910,37.5340529289325,24977.0
gbdt-lean,P3,0.98,margin,3363,0.8935474278917633,0.7947536019188329,46.98041153731788,10.662374843889385,36.31803669342848,28.0,2242,38.198878977103774,32982.619999999995
always-zero,P3,0.98,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
chronos2-ft-full,P3m,,margin,3363,0.8941421349985132,0.8565442886294313,37.01319342551293,8.048312366934285,28.964881058578648,19.0,1741,35.64451977401129,23053.0
chronos2-zs,P3m,,margin,3363,0.8991971454058876,0.8593508008329678,37.286983716919416,8.934283746654772,28.352699970264645,21.0,1851,36.7145465358311,22602.0
chronos2-ft-full-short,P3m,,margin,3363,0.8855188819506393,0.8490581817982686,37.56212637228665,7.786745759738329,29.775380612548318,18.0,1698,35.0316741005055,24256.0
chronos2-ft-full-h32,P3m,,margin,3363,0.8855188819506393,0.8481683120751962,37.97084510060461,7.62329975418773,30.347545346416887,17.0,1669,34.80851025869759,24399.0
emp-daily,P3m,,margin,3363,0.8682723758548915,0.808149065997717,40.34135483893349,8.284876991773219,32.056477847160274,18.0,1715,35.49792447219744,30830.0
gbdt-lean,P3m,,margin,3363,0.871245911388641,0.7649896376848752,47.28178823471107,9.305913301615622,37.975874933095454,25.0,2028,36.09807612250966,37765.619999999995
always-zero,P3m,,margin,3363,0.7133511745465358,0.5269349874870626,67.27452776489245,5.396222977500248,61.87830478739221,0.0,4,29.611416889681834,76020.45
